bf_bugid,key_word,key_phrase
CSCux77907,"user-assisted,untrusted,CE340",link url untrusted search path;firefox parse untrusted data ui;cve url untrusted search path
CSCux84043,"wpan,WPAN,RF",enable show wpan hardware configmackinac;wpan remote agent;show remote wpan info cgr;ir join wpan pan id;shutdown work wpan interface cgr
CSCux84962,"Camero,Rockwell,assembly",eds file assembly port number;;cip configuration assembly default value;
CSCux92850,"user-assisted,untrusted,CE340",link url untrusted search path;firefox parse untrusted data ui;cve url untrusted search path
CSCuy02720,"DMM,vulnerabilityMissingThis,PostgreSQL",
CSCuy07345,"ABOUT,overcome,*issue_not_a_bug_or_enhancement",;;raise manner overcome cdets limitations;;
CSCuy08061,"ABOUT,overcome,*issue_not_a_bug_or_enhancement",;;raise manner overcome cdets limitations;;
CSCuy09510,"DMM,demonstrated,vulnerabilityMissingThis",
CSCuy11695,"DMM,demonstrated,vulnerabilityMissingThis",
CSCuy12632,"seen,offset,device",accuracy unknown offset log variance;ntp ptp offset mean path;high range offset around ns;could see offset sreference bug;byte confidentiality offset work fine;info ptp device type time;connect petra device offset mean;eds show device port instead;correction debug device show passive;traceback see device give value
CSCuy17771,"DMM,demonstrated,vulnerabilityMissingThis",
CSCuy19023,"DMM,demonstrated,vulnerabilityMissingThis",
CSCuy21235,"DMM,demonstrated,vulnerabilityMissingThis",
CSCuy23817,"DMM,vulnerabilityMissingThis,PostgreSQL",
CSCuy26766,"user-assisted,untrusted,CE340",link url untrusted search path;firefox parse untrusted data ui;cve url untrusted search path
CSCuy38064,"Camero,Rockwell,assembly",eds file assembly port number;;cip configuration assembly default value;
CSCuy46125,"regarding,hokkaidoAs,imagepi31,",
CSCuy48967,"gemboa,kernel,Linux",evaluation gemboa bind zz;evaluation gemboa kernel zuti;evaluation gemboa kernel gq;evaluation gemboa kernel zuti;evaluation gemboa kernel zuti;evaluation gemboa kernel psirt tps;evaluation gemboa kernel hu zuti;evaluation gemboa kernel sf zuti;evaluation gemboa kernel hv zuti;evaluation gemboa kernel fo zuti
CSCuy53293,"gemboa,kernel,Linux",evaluation gemboa bind zz;evaluation gemboa kernel zuti;evaluation gemboa kernel gq;evaluation gemboa kernel zuti;evaluation gemboa kernel zuti;evaluation gemboa kernel psirt tps;evaluation gemboa kernel hu zuti;evaluation gemboa kernel sf zuti;evaluation gemboa kernel hv zuti;evaluation gemboa kernel fo zuti
