keyword,count,related phrase,related keyword,number of related bugs
cve,933,pvwo pn cve ciam notification;ah lk cve ciam psirt;zuti cmmo cve ciam psirt;il mfpz cve ciam psirt;wj mfpz cve ciam psirt,evaluation;psirt;cve;url;ciam,259
ciam,703,mf cve ciam psirt psirt;mf cve ciam psirt psirt;tps security ciam pvwo gbym;pvwo cve ciam psirt psirt;cve cve ciam psirt psirt,psirt;cve;url;alert;ciam,240
psirt,476,cve ciam psirt psirt do;cve ciam psirt psirt do;ce xinetd psirt tps security;cve ciam psirt psirt do;ce libxml psirt tps security,evaluation;psirt;cve;url;ciam,180
show,431,txfec always show enable show;lowpan always show dag_size pi;corsica show run configuration;last clear show interface counter;spa ir show plat hypversion,cgr;config;version;show;ir,169
ir,385,info warn ir sidebarnes warbler;shut shut ir corsicascenario ir;virutal box ir show virtual;timeout command ir reloadmissing test;characterstopo sparrowimage ir universalk ssa,config;modem;show;root;ir,117
cisco,377,notification cve cisco alert link;notification cve cisco alert link;notification cve cisco alert link;notification cve cisco alert link;notification cve cisco alert link,psirt;cve;url;cisco;ciam,279
url,343,alert link url function openssl;alert link url function net;alert link url vulnerability certain;alert link url overflow function;alert link url condition ssl,evaluation;psirt;cve;url;ciam,278
link,323,cisco alert link url firefox;cisco alert link url vulnerability;cisco alert link url osf_partition;cisco alert link url vulnerability;cisco alert link url buffer,psirt;url;cve;link;ciam,282
config,320,line connections config int encap;show line config line parity;binlogs see config raw tcp;fcw th config encapsulation arpair;cntl ir config wpan remote,cgr;config;show;line;ir,102
cgr,291,coronado phase cgr gbcg mesh;platform applicable cgr ir esr;sce change cgr panid configuration;lifetime coronadoios cgr universalk mz;via rf cgr config hw,module;cgr;config;wpan;ir,86
file,286,read arbitrary file leverage download;os windows file share enable;denial service file corruption allow;;,file;cve;url;bug;ciam,145
ie,283,modifications require ie eds file;;ios software ie software ie;ios software ie software ie;saturn ie ra file,file;switch;config;cisco;ie,107
mf,262,hn zuti mf cve ciam;fo zuti mf cve ciam;kernel zuti mf cve ciam;kernel zuti mf cve ciam;sf zuti mf cve ciam,psirt;cve;mf;kernel;ciam,59
evaluation,254,evaluation ce firefox;evaluation ce openssl;evaluation ce firefox;evaluation ce firefox;evaluation gemboa gnutls,evaluation;psirt;cve;url;ciam,231
version,250,coronado acgr version cisco ios;determine sdk version addition provide;;always rssir version cgossoftware bios;load cgr version gbcgr node,cgr;version;image;show;ir,129
allow,246,page boundaries allow local users;collisions predictably allow remote attackers;openssl enable allow remote attackers;nameserver enable allow remote attackers;openssl could allow unauthenticated remote,psirt;cve;url;allow;ciam,222
alert,238,cve cisco alert link url;cve cisco alert link url;cve cisco alert link url;cve cisco alert link url;cve cisco alert link url,psirt;cve;url;alert;ciam,231
use,235,aka icclib use ghostscript earlier;class angle use mozilla firefox;graphics drivers use mac os;management system use devices first;pkcs blob use asn encode,use;psirt;cve;show;ciam,183
image,218,cg kickstart image file bootflash;weekly buildsystem image file flash;;version pi image try bundle;upgrade bridge image first upgrade,file;cgr;version;image;ir,122
notification,200,securitythis ciam notification cve cisco;securitythis ciam notification cve cisco;cve ciam notification cve cisco;securitythis ciam notification cve cisco;reviewedthis ciam notification cve cve,notification;psirt;cve;url;ciam,194
cause,200,remote attackers cause denial service;dependent attackers cause denial service;ssl servers cause denial service;remote attackers cause denial service;dependent attackers cause denial service,cause;psirt;cve;link;ciam,177
interface,198,run config interface gigabitethernet ip;int vlan interface config mrp;work wpan interface cgr missingissue;name server interface fastethernet ip;name server interface gigabitethernet ip,config;address;interface;ip;show,87
service,192,cause denial service assertion failure;cause denial service application crash;cause denial service null pointer;cause denial service application crash;cause denial service application crash,psirt;cve;service;url;ciam,164
enable,189,use vlan enable igmp snoop;also disable enable cisp work;encapsulation arpa enable sparrow async;get update enable show run;run config enable secret hostname,config;vlan;interface;show;enable,110
port,188,number ptp port time transfer;without prp port work port;run rout port regression crash;number ptp port ptp packet;stackmgr stack port switch change,switch;port;device;ie;ptp,86
sparrow,186,sparrow sweep ping;sparrow show platform;sparrow rommon boot;sparrow clear imix;sparrow verify bootflash,platform;nooib;sparrow;show;ir,89
remote,185,allow unauthenticated remote attacker cause;libpng allow remote attackers cause;dialogs allow remote attackers conduct;openssl allow remote ssl servers;message allow remote attackers execute,remote;psirt;cve;url;ciam,162
via,182,cpu consumption via craft;;phishing attack via craft web;application crash via serverhello;,psirt;cve;url;ciam;via,178
