bf_bugid,message,cluster_id,message_clean,key_word,key_phrase
CSCux77907,"Evaluation of CE340 for firefox 2013 vulnerabilitiesciam psirt tps-security CIAM-7TA7PVwo3a8PN CVE-2013-1717This is a CIAM notification :CVE-2013-1717CISCO Alert Links :http://tvce.cisco.com/knowledge/aimsxp/alertpublication/express/alert_preview.asp?AlertID=30354Mozilla Firefox before 23.0, Firefox ESR 17.x before 17.0.8, Thunderbird before 17.0.8, Thunderbird ESR 17.x before 17.0.8, and SeaMonkey before 2.20 do not properly restrict local-filesystem access by Java applets, which allows user-assisted remote attackers to read arbitrary files by leveraging a download to a fixed pathname or other predictable pathname.MissingMissingMissingMissingnobug",31,"['Evaluation', 'of', 'CE340', 'for', 'firefox', '2013', 'vulnerabilitiesciam', 'psirt', 'tps-security', 'CIAM-7TA7PVwo3a8PN', 'CVE-2013-1717This', 'is', 'a', 'CIAM', 'notification', ':CVE-2013-1717CISCO', 'Alert', 'Links', ':http://tvce.cisco.com/knowledge/aimsxp/alertpublication/express/alert_preview.asp?AlertID=30354Mozilla', 'Firefox', 'before', '23.0,', 'Firefox', 'ESR', '17.x', 'before', '17.0.8,', 'Thunderbird', 'before', '17.0.8,', 'Thunderbird', 'ESR', '17.x', 'before', '17.0.8,', 'and', 'SeaMonkey', 'before', '2.20', 'do', 'not', 'properly', 'restrict', 'local-filesystem', 'access', 'by', 'Java', 'applets,', 'which', 'allows', 'user-assisted', 'remote', 'attackers', 'to', 'read', 'arbitrary', 'files', 'by', 'leveraging', 'a', 'download', 'to', 'a', 'fixed', 'pathname', 'or', 'other', 'predictable', 'pathname.MissingMissingMissingMissingnobug']","user-assisted,untrusted,CE340",link url untrusted search path;firefox parse untrusted data ui;cve url untrusted search path
CSCux84043,"CGR1K: crash after configured GPSpi30-iotThe issue found  on 15.6(1.0.78)GB.I run some GPS CLI on CGR1120, then crash happened with high CPU warning msg after I enabled ""lte gps nmea?. Clabria-1(config-t)#controller cellular 3/1Clabria-1(config-controller)#lte gps  enable Clabria-1(config-controller)#lte gps  mode standalone [Cellular3/1]: Please ensure NMEA is enabled in order to get all satellite and GPS location information![Cellular3/1]: GPS mode selected successfullyClabria-1(config-controller)#lte gps  nmea  22:02:00 UTC Mon Jan 11 2016: Unexpected exception to CPU: vector D, PC = 0x1019396 -Traceback= 1019396 10192EE 10191C3 104CFDD 1041DF1 10320AD FF0979 19E647C 19E561C 19E400C 19FC6EBGPS feature on modem not supported on Nantucket, we can disable this CLI by using the following CLIs under controller:- no lte gps  nmea - no lte gps  mode standalone- no lte gps enableMissingMissingMissingMissingCSCux80196",45,"['CGR1K:', 'crash', 'after', 'configured', 'GPSpi30-iotThe', 'issue', 'found', 'on', '15.6(1.0.78)GB.I', 'run', 'some', 'GPS', 'CLI', 'on', 'CGR1120,', 'then', 'crash', 'happened', 'with', 'high', 'CPU', 'warning', 'msg', 'after', 'I', 'enabled', '""lte', 'gps', 'nmea?.', 'Clabria-1(config-t)#controller', 'cellular', '3/1Clabria-1(config-controller)#lte', 'gps', 'enable', 'Clabria-1(config-controller)#lte', 'gps', 'mode', 'standalone', '[Cellular3/1]:', 'Please', 'ensure', 'NMEA', 'is', 'enabled', 'in', 'order', 'to', 'get', 'all', 'satellite', 'and', 'GPS', 'location', 'information![Cellular3/1]:', 'GPS', 'mode', 'selected', 'successfullyClabria-1(config-controller)#lte', 'gps', 'nmea', '22:02:00', 'UTC', 'Mon', 'Jan', '11', '2016:', 'Unexpected', 'exception', 'to', 'CPU:', 'vector', 'D,', 'PC', '=', '0x1019396', '-Traceback=', '1019396', '10192EE', '10191C3', '104CFDD', '1041DF1', '10320AD', 'FF0979', '19E647C', '19E561C', '19E400C', '19FC6EBGPS', 'feature', 'on', 'modem', 'not', 'supported', 'on', 'Nantucket,', 'we', 'can', 'disable', 'this', 'CLI', 'by', 'using', 'the', 'following', 'CLIs', 'under', 'controller:-', 'no', 'lte', 'gps', 'nmea', '-', 'no', 'lte', 'gps', 'mode', 'standalone-', 'no', 'lte', 'gps', 'enableMissingMissingMissingMissingCSCux80196']","wpan,WPAN,RF",enable show wpan hardware configmackinac;wpan remote agent;show remote wpan info cgr;ir join wpan pan id;shutdown work wpan interface cgr
CSCux84962,IE1K:Express Setup DM page launch is not workingie1k-dmtracking the bugzilla : 1767 https://dt.vitesse.com/bugzilla/show_bug.cgi?id=1767Express setup is available in PRE-2 releaseMissingMissingMissingMissingCSCuy81461,2,"['IE1K:Express', 'Setup', 'DM', 'page', 'launch', 'is', 'not', 'workingie1k-dmtracking', 'the', 'bugzilla', ':', '1767', 'https://dt.vitesse.com/bugzilla/show_bug.cgi?id=1767Express', 'setup', 'is', 'available', 'in', 'PRE-2', 'releaseMissingMissingMissingMissingCSCuy81461']","Camero,Rockwell,assembly",eds file assembly port number;;cip configuration assembly default value;
CSCux92850,Evaluation of CE340 for rsh 2000 vulnerabilities.ciam psirt tps-security CIAM-0jq7PVwo02pts CVE-2000-0992 CVE-2004-0175This is a CIAM notification :CVE-2000-0992 CISCO Alert Links :https://tvce.cisco.com/security/AIMS/AimsAlertPreview.aspx?AlertID=1204Directory traversal vulnerability in scp in sshd 1.2.xx allows a remote malicious scp server to overwrite arbitrary files via a .. (dot dot) attack.MissingMissingMissingMissingnobug,31,"['Evaluation', 'of', 'CE340', 'for', 'rsh', '2000', 'vulnerabilities.ciam', 'psirt', 'tps-security', 'CIAM-0jq7PVwo02pts', 'CVE-2000-0992', 'CVE-2004-0175This', 'is', 'a', 'CIAM', 'notification', ':CVE-2000-0992', 'CISCO', 'Alert', 'Links', ':https://tvce.cisco.com/security/AIMS/AimsAlertPreview.aspx?AlertID=1204Directory', 'traversal', 'vulnerability', 'in', 'scp', 'in', 'sshd', '1.2.xx', 'allows', 'a', 'remote', 'malicious', 'scp', 'server', 'to', 'overwrite', 'arbitrary', 'files', 'via', 'a', '..', '(dot', 'dot)', 'attack.MissingMissingMissingMissingnobug']","user-assisted,untrusted,CE340",link url untrusted search path;firefox parse untrusted data ui;cve url untrusted search path
CSCuy02720,"Evaluation of DMM for bind 2012 vulnerability.MissingThis is a CIAM notification :CVE-2012-5166CISCO Alert Links :http://tvce.cisco.com/knowledge/aimsxp/alertpublication/express/alert_preview.asp?AlertID=27151ISC BIND 9.x before 9.7.6-P4, 9.8.x before 9.8.3-P4, 9.9.x before 9.9.1-P4, and 9.4-ESV and 9.6-ESV before 9.6-ESV-R7-P4 allows remote attackers to cause a denial of service (named daemon hang) via unspecified combinations of resource records.MissingMissingMissingMissingnobug",34,"['Evaluation', 'of', 'DMM', 'for', 'bind', '2012', 'vulnerability.MissingThis', 'is', 'a', 'CIAM', 'notification', ':CVE-2012-5166CISCO', 'Alert', 'Links', ':http://tvce.cisco.com/knowledge/aimsxp/alertpublication/express/alert_preview.asp?AlertID=27151ISC', 'BIND', '9.x', 'before', '9.7.6-P4,', '9.8.x', 'before', '9.8.3-P4,', '9.9.x', 'before', '9.9.1-P4,', 'and', '9.4-ESV', 'and', '9.6-ESV', 'before', '9.6-ESV-R7-P4', 'allows', 'remote', 'attackers', 'to', 'cause', 'a', 'denial', 'of', 'service', '(named', 'daemon', 'hang)', 'via', 'unspecified', 'combinations', 'of', 'resource', 'records.MissingMissingMissingMissingnobug']","DMM,vulnerabilityMissingThis,PostgreSQL",
CSCuy07345,"Evaluation of dms for OpenSSL January 2016BUGDOM psirt psirt-TPS-openssl-Jan16 CVE-2016-0701 CVE-2015-3197PLEASE READ THIS ENTIRE DESCRIPTION AND THE INCLUDED LINKS BEFORE TAKING ANY ACTION.On Thursday, January 28, 2016 the OpenSSL group released a security advisory containing two vulnerabilities.OpenSSL Security Advisory: https://www.openssl.org/news/secadv/20160128.txtThis bug has been filed against Cisco Digital Media Manager to address the vulnerability/ies known as OpenSSL January 2016 and identified by CVE(s): CVE-2016-0701 CVE-2015-3197PLEASE EVALUATE YOUR PRODUCT BY COMPLETING THE STEPS AS INDICATED AT:https://psirt.cisco.com/PSIRThot/openssl-January2016/InstructionsToEngineeringThis tool will guide you in the evaluation of these vulnerabilities and will automate the documentation of this bug appropriately.Additional information can be obtained in our hotpage at:https://psirt.cisco.com/PSIRThot/openssl-January2016VERY IMPORTANT NOTE ABOUT SEVERITY: The bugs have been raised as *issue_not_a_bug_or_enhancement (Sev7)*, but PLEASE TREAT IT AS A SEV 2 bug.  The bug was raised in this manner to overcome some CDETS limitations when filing hundreds of bugs for ALL potentially affected Cisco products.MissingMissingMissingMissingnobug",5,"['Evaluation', 'of', 'dms', 'for', 'OpenSSL', 'January', '2016BUGDOM', 'psirt', 'psirt-TPS-openssl-Jan16', 'CVE-2016-0701', 'CVE-2015-3197PLEASE', 'READ', 'THIS', 'ENTIRE', 'DESCRIPTION', 'AND', 'THE', 'INCLUDED', 'LINKS', 'BEFORE', 'TAKING', 'ANY', 'ACTION.On', 'Thursday,', 'January', '28,', '2016', 'the', 'OpenSSL', 'group', 'released', 'a', 'security', 'advisory', 'containing', 'two', 'vulnerabilities.OpenSSL', 'Security', 'Advisory:', 'https://www.openssl.org/news/secadv/20160128.txtThis', 'bug', 'has', 'been', 'filed', 'against', 'Cisco', 'Digital', 'Media', 'Manager', 'to', 'address', 'the', 'vulnerability/ies', 'known', 'as', 'OpenSSL', 'January', '2016', 'and', 'identified', 'by', 'CVE(s):', 'CVE-2016-0701', 'CVE-2015-3197PLEASE', 'EVALUATE', 'YOUR', 'PRODUCT', 'BY', 'COMPLETING', 'THE', 'STEPS', 'AS', 'INDICATED', 'AT:https://psirt.cisco.com/PSIRThot/openssl-January2016/InstructionsToEngineeringThis', 'tool', 'will', 'guide', 'you', 'in', 'the', 'evaluation', 'of', 'these', 'vulnerabilities', 'and', 'will', 'automate', 'the', 'documentation', 'of', 'this', 'bug', 'appropriately.Additional', 'information', 'can', 'be', 'obtained', 'in', 'our', 'hotpage', 'at:https://psirt.cisco.com/PSIRThot/openssl-January2016VERY', 'IMPORTANT', 'NOTE', 'ABOUT', 'SEVERITY:', 'The', 'bugs', 'have', 'been', 'raised', 'as', '*issue_not_a_bug_or_enhancement', '(Sev7)*,', 'but', 'PLEASE', 'TREAT', 'IT', 'AS', 'A', 'SEV', '2', 'bug.', 'The', 'bug', 'was', 'raised', 'in', 'this', 'manner', 'to', 'overcome', 'some', 'CDETS', 'limitations', 'when', 'filing', 'hundreds', 'of', 'bugs', 'for', 'ALL', 'potentially', 'affected', 'Cisco', 'products.MissingMissingMissingMissingnobug']","ABOUT,overcome,*issue_not_a_bug_or_enhancement",;;raise manner overcome cdets limitations;;
CSCuy08061,"DMP 4400: Evaluation of dms for OpenSSL January 2016MissingPLEASE READ THIS ENTIRE DESCRIPTION AND THE INCLUDED LINKS BEFORE TAKING ANY ACTION.On Thursday, January 28, 2016 the OpenSSL group released a security advisory containing two vulnerabilities.OpenSSL Security Advisory: https://www.openssl.org/news/secadv/20160128.txtThis bug has been filed against Cisco Digital Media Players (DMP) 4300 Series;Cisco Digital Media Players (DMP) 4400 Seriesto address the vulnerability/ies known as OpenSSL January 2016 and identified by CVE(s): CVE-2016-0701 CVE-2015-3197PLEASE EVALUATE YOUR PRODUCT BY COMPLETING THE STEPS AS INDICATED AT:https://psirt.cisco.com/PSIRThot/openssl-January2016/InstructionsToEngineeringThis tool will guide you in the evaluation of these vulnerabilities and will automate the documentation of this bug appropriately.Additional information can be obtained in our hotpage at:https://psirt.cisco.com/PSIRThot/openssl-January2016VERY IMPORTANT NOTE ABOUT SEVERITY: The bugs have been raised as *issue_not_a_bug_or_enhancement (Sev7)*, but PLEASE TREAT IT AS A SEV 2 bug.  The bug was raised in this manner to overcome some CDETS limitations when filing hundreds of bugs for ALL potentially affected Cisco products.MissingMissingMissingMissingnobug",5,"['DMP', '4400:', 'Evaluation', 'of', 'dms', 'for', 'OpenSSL', 'January', '2016MissingPLEASE', 'READ', 'THIS', 'ENTIRE', 'DESCRIPTION', 'AND', 'THE', 'INCLUDED', 'LINKS', 'BEFORE', 'TAKING', 'ANY', 'ACTION.On', 'Thursday,', 'January', '28,', '2016', 'the', 'OpenSSL', 'group', 'released', 'a', 'security', 'advisory', 'containing', 'two', 'vulnerabilities.OpenSSL', 'Security', 'Advisory:', 'https://www.openssl.org/news/secadv/20160128.txtThis', 'bug', 'has', 'been', 'filed', 'against', 'Cisco', 'Digital', 'Media', 'Players', '(DMP)', '4300', 'Series;Cisco', 'Digital', 'Media', 'Players', '(DMP)', '4400', 'Seriesto', 'address', 'the', 'vulnerability/ies', 'known', 'as', 'OpenSSL', 'January', '2016', 'and', 'identified', 'by', 'CVE(s):', 'CVE-2016-0701', 'CVE-2015-3197PLEASE', 'EVALUATE', 'YOUR', 'PRODUCT', 'BY', 'COMPLETING', 'THE', 'STEPS', 'AS', 'INDICATED', 'AT:https://psirt.cisco.com/PSIRThot/openssl-January2016/InstructionsToEngineeringThis', 'tool', 'will', 'guide', 'you', 'in', 'the', 'evaluation', 'of', 'these', 'vulnerabilities', 'and', 'will', 'automate', 'the', 'documentation', 'of', 'this', 'bug', 'appropriately.Additional', 'information', 'can', 'be', 'obtained', 'in', 'our', 'hotpage', 'at:https://psirt.cisco.com/PSIRThot/openssl-January2016VERY', 'IMPORTANT', 'NOTE', 'ABOUT', 'SEVERITY:', 'The', 'bugs', 'have', 'been', 'raised', 'as', '*issue_not_a_bug_or_enhancement', '(Sev7)*,', 'but', 'PLEASE', 'TREAT', 'IT', 'AS', 'A', 'SEV', '2', 'bug.', 'The', 'bug', 'was', 'raised', 'in', 'this', 'manner', 'to', 'overcome', 'some', 'CDETS', 'limitations', 'when', 'filing', 'hundreds', 'of', 'bugs', 'for', 'ALL', 'potentially', 'affected', 'Cisco', 'products.MissingMissingMissingMissingnobug']","ABOUT,overcome,*issue_not_a_bug_or_enhancement",;;raise manner overcome cdets limitations;;
CSCuy09510,"Evaluation of DMM for ntp 2009 vulnerabilityMissingThis is a CIAM notification :CVE-2009-1252CISCO Alert Links :http://tvce.cisco.com/knowledge/aimsxp/alertpublication/express/alert_preview.asp?AlertID=18289Stack-based buffer overflow in the crypto_recv function in ntp_crypto.c in ntpd in NTP before 4.2.4p7 and 4.2.5 before 4.2.5p74, when OpenSSL and autokey are enabled, allows remote attackers to execute arbitrary code via a crafted packet containing an extension field.MissingMissingMissingMissingnobug",4,"['Evaluation', 'of', 'DMM', 'for', 'ntp', '2009', 'vulnerabilityMissingThis', 'is', 'a', 'CIAM', 'notification', ':CVE-2009-1252CISCO', 'Alert', 'Links', ':http://tvce.cisco.com/knowledge/aimsxp/alertpublication/express/alert_preview.asp?AlertID=18289Stack-based', 'buffer', 'overflow', 'in', 'the', 'crypto_recv', 'function', 'in', 'ntp_crypto.c', 'in', 'ntpd', 'in', 'NTP', 'before', '4.2.4p7', 'and', '4.2.5', 'before', '4.2.5p74,', 'when', 'OpenSSL', 'and', 'autokey', 'are', 'enabled,', 'allows', 'remote', 'attackers', 'to', 'execute', 'arbitrary', 'code', 'via', 'a', 'crafted', 'packet', 'containing', 'an', 'extension', 'field.MissingMissingMissingMissingnobug']","DMM,demonstrated,vulnerabilityMissingThis",
CSCuy11695,"Evaluation of DMM for ntp 2014 vulnerabilityMissingThis is a CIAM notification :CVE-2014-9297CISCO Alert Links :http://tvce.cisco.com/knowledge/aimsxp/alertpublication/express/alert_preview.asp?AlertID=37424A stack-based buffer overflow was found in the way the NTP autokey protocol was implemented. When an NTP client decrypted a secret received from an NTP server, it could cause that client to crash.MissingMissingMissingMissingnobug",4,"['Evaluation', 'of', 'DMM', 'for', 'ntp', '2014', 'vulnerabilityMissingThis', 'is', 'a', 'CIAM', 'notification', ':CVE-2014-9297CISCO', 'Alert', 'Links', ':http://tvce.cisco.com/knowledge/aimsxp/alertpublication/express/alert_preview.asp?AlertID=37424A', 'stack-based', 'buffer', 'overflow', 'was', 'found', 'in', 'the', 'way', 'the', 'NTP', 'autokey', 'protocol', 'was', 'implemented.', 'When', 'an', 'NTP', 'client', 'decrypted', 'a', 'secret', 'received', 'from', 'an', 'NTP', 'server,', 'it', 'could', 'cause', 'that', 'client', 'to', 'crash.MissingMissingMissingMissingnobug']","DMM,demonstrated,vulnerabilityMissingThis",
CSCuy12632,"BEMS448077: No DHCP option 12 in DHCP DISCOVERiot-danubeCustomer NETDESIGN reports that IE-3000 switch does not include Option 12 in DHCPDISCOVER , this happens if any configuration applied to the switch (config.text in flash:), if no configuration (Switch default, no config.text in flash:) Option 12 is include DHCPDISCOVERhttp://www-tac.cisco.com/Teams/ks/c3/casekwery.php?Case=637053269This is able to be reproduced by bringing up Switch as default w/ no config in flash: and capturing Wireshark DHCP to check options. With no config.text in flash:, behavior is as expected BUT if there is a config.text in flash: the option is excluded even though hostname has not been changed and still = default 'Switch'.Customer expectation = For the switch to receive its hostname through DHCP at any time (we do not do this, thus the CDETS)MissingMissingMissingMissingnobug",28,"['BEMS448077:', 'No', 'DHCP', 'option', '12', 'in', 'DHCP', 'DISCOVERiot-danubeCustomer', 'NETDESIGN', 'reports', 'that', 'IE-3000', 'switch', 'does', 'not', 'include', 'Option', '12', 'in', 'DHCPDISCOVER', ',', 'this', 'happens', 'if', 'any', 'configuration', 'applied', 'to', 'the', 'switch', '(config.text', 'in', 'flash:),', 'if', 'no', 'configuration', '(Switch', 'default,', 'no', 'config.text', 'in', 'flash:)', 'Option', '12', 'is', 'include', 'DHCPDISCOVERhttp://www-tac.cisco.com/Teams/ks/c3/casekwery.php?Case=637053269This', 'is', 'able', 'to', 'be', 'reproduced', 'by', 'bringing', 'up', 'Switch', 'as', 'default', 'w/', 'no', 'config', 'in', 'flash:', 'and', 'capturing', 'Wireshark', 'DHCP', 'to', 'check', 'options.', 'With', 'no', 'config.text', 'in', 'flash:,', 'behavior', 'is', 'as', 'expected', 'BUT', 'if', 'there', 'is', 'a', 'config.text', 'in', 'flash:', 'the', 'option', 'is', 'excluded', 'even', 'though', 'hostname', 'has', 'not', 'been', 'changed', 'and', 'still', '=', 'default', ""'Switch'.Customer"", 'expectation', '=', 'For', 'the', 'switch', 'to', 'receive', 'its', 'hostname', 'through', 'DHCP', 'at', 'any', 'time', '(we', 'do', 'not', 'do', 'this,', 'thus', 'the', 'CDETS)MissingMissingMissingMissingnobug']","seen,offset,device",accuracy unknown offset log variance;ntp ptp offset mean path;high range offset around ns;could see offset sreference bug;byte confidentiality offset work fine;info ptp device type time;connect petra device offset mean;eds show device port instead;correction debug device show passive;traceback see device give value
