bf_bugid,bf_project,bf_product,bf_de_manager,bf_severity,submit_age,Pin
CSCux77907,CSC.sibu.dev,bluebird,tslo,moderate,182,sw
CSCux84043,CSC.labtrunk,ir829,ningzhao,moderate,181,gemboa
CSCux84962,CSC.labtrunk,all,teresang,moderate,181,iot
CSCux92850,CSC.sibu.dev,bluebird,tslo,moderate,180,sw
CSCuy02720,CSC.sibu.dev,dms-internal,tslo,moderate,179,dmm
CSCuy07345,CSC.general,dms,tslo,severe,179,dms
CSCuy08061,CSC.general,dms,tslo,severe,179,dmp
CSCuy09510,CSC.sibu.dev,dms-internal,tslo,moderate,178,dmm
CSCuy11695,CSC.sibu.dev,dms-internal,tslo,moderate,178,dmm
CSCuy12632,CSC.sys,ie3000,teresang,moderate,178,iotgsw
CSCuy17771,CSC.sibu.dev,dms-internal,tslo,moderate,178,dmm
CSCuy19023,CSC.sibu.dev,dms-internal,tslo,moderate,177,dmm
CSCuy21235,CSC.sibu.dev,dms-internal,tslo,moderate,177,dmm
CSCuy23817,CSC.sibu.dev,dms-internal,tslo,moderate,177,dmm
CSCuy26766,CSC.sibu.dev,bluebird,tslo,moderate,177,sw
CSCuy38064,CSC.labtrunk,warbler,tslo,moderate,176,warbler
CSCuy46125,CSC.labtrunk,c10000,ningzhao,enhancement,175,cgr1k
CSCuy48967,CSC.labtrunk,gemboa,tslo,moderate,175,gemboa
CSCuy53293,CSC.labtrunk,gemboa,tslo,moderate,174,gemboa
CSCuy55785,CSC.labtrunk,gemboa,tslo,moderate,174,gemboa
CSCuy57465,CSC.sibu.dev,bluebird,tslo,moderate,174,sw
CSCuy65000,CSC.labtrunk,warbler,tslo,moderate,173,warbler
CSCuy67329,CSC.labtrunk,warbler,tslo,moderate,173,warbler
CSCuy70908,CSC.labtrunk,ie3000,teresang,moderate,173,iotgsw
CSCuy75554,CSC.sibu.dev,bluebird,tslo,moderate,172,sw
CSCuy75560,CSC.sibu.dev,bluebird,tslo,moderate,172,sw
CSCuy75779,CSC.sibu.dev,bluebird,tslo,moderate,172,sw
CSCuy75901,CSC.sibu.dev,bluebird,tslo,moderate,172,sw
CSCuy78814,CSC.sibu.dev,bluebird,tslo,moderate,172,sw
CSCuy84927,CSC.sibu.dev,dms-internal,tslo,moderate,172,dmm
CSCuy84943,CSC.labtrunk,warbler,tslo,moderate,172,warbler
CSCuy87374,CSC.labtrunk,gemboa,tslo,moderate,171,gemboa
CSCuy93138,CSC.labtrunk,cgr1000,ningzhao,moderate,171,cgr1k
CSCuy94013,CSC.sibu.dev,dms-internal,tslo,moderate,171,dmm
CSCuy94293,CSC.sibu.dev,dms-internal,tslo,moderate,171,dmm
CSCuy98211,CSC.sibu.dev,sunbird,tslo,moderate,170,sw
CSCuy98230,CSC.sibu.dev,sunbird,tslo,moderate,170,sw
CSCuy98283,CSC.sibu.dev,sunbird,tslo,moderate,170,sw
CSCuy98624,CSC.sibu.dev,sunbird,tslo,moderate,170,sw
CSCuy99765,CSC.labtrunk,warbler,tslo,enhancement,170,warbler
CSCuz00376,CSC.labtrunk,warbler,tslo,enhancement,170,warbler
CSCuz00787,CSC.sibu.dev,bluebird,tslo,moderate,170,sw
CSCuz01978,CSC.sibu.dev,sunbird,tslo,moderate,170,sw
CSCuz02664,CSC.labtrunk,gemboa,tslo,moderate,170,gemboa
CSCuz02767,CSC.labtrunk,gemboa,tslo,moderate,170,gemboa
CSCuz02851,CSC.labtrunk,gemboa,tslo,moderate,170,gemboa
CSCuz03611,CSC.labtrunk,gemboa,tslo,moderate,170,gemboa
CSCuz03632,CSC.labtrunk,gemboa,tslo,moderate,170,gemboa
CSCuz04832,CSC.general,dms,tslo,moderate,170,dmp
CSCuz08675,CSC.sibu.dev,sunbird,tslo,moderate,169,sw
CSCuz12315,CSC.sibu.dev,sunbird,tslo,moderate,169,sw
CSCuz12394,CSC.sibu.dev,sunbird,tslo,moderate,169,sw
CSCuz13198,CSC.labtrunk,ir809,ningzhao,moderate,169,cgr1k
CSCuz20658,CSC.labtrunk,gemboa,tslo,moderate,168,gemboa
CSCuz20672,CSC.labtrunk,gemboa,tslo,moderate,168,gemboa
CSCuz35596,CSC.labtrunk,warbler,tslo,enhancement,167,warbler
CSCuz37040,CSC.labtrunk,warbler,tslo,enhancement,167,warbler
CSCuz37297,CSC.labtrunk,warbler,tslo,enhancement,167,warbler
CSCuz37478,CSC.labtrunk,warbler,tslo,enhancement,167,warbler
CSCuz37484,CSC.labtrunk,warbler,tslo,enhancement,167,warbler
CSCuz37491,CSC.labtrunk,warbler,tslo,enhancement,167,warbler
CSCuz37875,CSC.labtrunk,ce300,tslo,moderate,167,ce300
CSCuz39116,CSC.labtrunk,warbler,tslo,enhancement,166,warbler
CSCuz40006,CSC.sibu.dev,sunbird,tslo,moderate,166,sw
CSCuz40020,CSC.sibu.dev,sunbird,tslo,moderate,166,sw
CSCuz48689,CSC.labtrunk,ir829,ningzhao,severe,165,gemboa
CSCuz51981,CSC.labtrunk,morenolite,teresang,moderate,165,iotgsw
CSCuz52514,CSC.sibu.prods,ce300,tslo,severe,165,sw
CSCuz56269,CSC.labtrunk,ie1000,teresang,moderate,165,iot
CSCuz60042,CSC.sibu.dev,sunbird,tslo,moderate,164,sw
CSCuz61287,CSC.labtrunk,cgr1000,ningzhao,severe,164,cgr1k
CSCuz74737,CSC.labtrunk,ir809,ningzhao,moderate,163,scada
CSCuz77459,CSC.labtrunk,ie1000,teresang,moderate,163,iot
CSCuz80229,CSC.labtrunk,morenolite,teresang,moderate,162,iotgsw
CSCuz80469,CSC.labtrunk,volt,teresang,moderate,162,iot
CSCuz91233,CSC.labtrunk,cgr1000,ningzhao,moderate,161,cgr1k
CSCuz93343,CSC.labtrunk,moreno,teresang,moderate,161,iotgsw
CSCva30766,CSC.labtrunk,volt,teresang,enhancement,157,iotgsw
CSCva31796,CSC.labtrunk,camaro,teresang,moderate,157,iotgsw
CSCva33136,CSC.general,dms,tslo,enhancement,157,dmp
CSCva57399,CSC.autons,all,chadiga,moderate,154,nano
CSCva61350,CSC.labtrunk,camaro,teresang,enhancement,154,iotgsw
CSCva66216,CSC.labtrunk,ie1000,teresang,moderate,153,iot
CSCvb02902,CSC.labtrunk,warbler,tslo,moderate,149,warbler
CSCvb12213,CSC.labtrunk,warbler,tslo,moderate,148,warbler
CSCvb14522,CSC.labtrunk,volt,teresang,moderate,148,iotgsw
CSCvb17116,CSC.labtrunk,ie1000,teresang,moderate,148,iot
CSCvb19394,CSC.labtrunk,ce300,tslo,moderate,148,ce300
CSCvb45652,CSC.sibu.dev,sunbird,tslo,moderate,145,sw
CSCvb46022,CSC.sibu.dev,sunbird,tslo,moderate,145,sw
CSCvb48879,CSC.labtrunk,volt,teresang,enhancement,144,iotgsw
CSCvb50912,CSC.labtrunk,warbler,tslo,enhancement,144,warbler
CSCvb62810,CSC.labtrunk,ie1000,teresang,moderate,143,iot
CSCvb66546,CSC.labtrunk,volt,teresang,enhancement,142,iotgsw
CSCvb69238,CSC.sys,c7600,rasrao,severe,142,c7600
CSCvb72671,CSC.labtrunk,warbler,tslo,enhancement,142,warbler
CSCvb78134,CSC.sibu.dev,sunbird,tslo,moderate,141,sw
